Factors,Maths %,Science %,Reading %,Social %,Intensity
# Books,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.9063288099
Age,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.64489011649
Answer English WB,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.46931668068
Answer English aloud,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.55854449382
Below poverty,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.05980545214
Category,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.82886994116
Computer use,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.49765822025
Conduct experiments,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.94679956767
Correct Lang HW,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.85793202834
Correct Math HW,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.00564428966
Correct Scie HW,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.82658820704
Correct SocS HW,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.71538369161
Dictionary to learn,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.37756695088
Distance,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.68920379488
Draw geometry,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.45742764501
English is difficult,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.67239101717
Explain answers,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.39437972859
Express SocSci views,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.27789119731
Express science views,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.18938393179
Father edu,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.19550858653
Father occupation,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.26600216164
Give Lang HW,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.06256755134
Give Math HW,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.33121172091
Give Scie HW,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.00048036508
Give SoSc HW,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.88399183379
Handicap,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.87798727033
Help in Study,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.79044073496
Help in household,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.50630479164
Historical excursions,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.59024858893
Library use,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.33109162964
Like school,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.93947400024
Maths is difficult,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.07889996397
Mother edu,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.86489732196
Mother occupation,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.50990752972
Observe experiments,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.49345502582
Participate in SocSci,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.49909931548
Play games,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.35030623274
Private tuition,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.31511949081
Read English,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.48552900204
Read a book,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.92338177015
Read magazine,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.84628317521
Read other books,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.61774948961
Same language,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.44469797046
Science is difficult,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.78623754053
Siblings,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.41959889516
Small groups in SocSci,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.29638525279
SocSci is difficult,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.81073615948
Solve Maths,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.08766662664
Solve Maths in groups,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.53212441456
Solve science problems,33.3846427285,39.0538429206,49.2913246067,40.3550366278,2.27260718146
Use Internet,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.1305392098
Use calculator,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.43557103399
Use computer,33.305099453,38.9415489806,49.6087916459,40.3729462954,0.213451019393
Use dictionary,33.3846427285,39.0538429206,49.2913246067,40.3550366278,1.55974540651
Watch TV,33.3846427285,39.0538429206,49.2913246067,40.3550366278,3.58856731116
